x,y
2530,1660
147,1480
20,1417
157,1410
2595,1397
2772,1387
2832,1377
2537,1360
197,1357
80,1355
2737,1347
2680,1347
2905,1342
2390,1342
2007,1322
2482,1312
2660,1287
37,1282
2602,1277
2540,1252
2357,1247
482,1240
1935,1232
2855,1227
162,1222
2460,1220
2070,1217
2717,1215
3015,1195
2152,1192
2772,1197
15,1185
2552,1152
2220,1140
2412,1140
2080,1132
2660,1132
2932,1125
3027,1117
467,1115
2330,1107
1792,1102
2865,1095
62,1085
2265,1082
2152,1082
2087,1065
1982,1047
457,1042
2757,1037
2200,1037
597,1035
2407,1030
97,1017
305,1020
365,1007
2935,1005
2465,1002
197,992
1895,977
2302,980
732,975
3005,972
417,972
1810,960
1735,960
292,947
1932,945
577,945
2392,935
197,932
2007,930
2542,920
2092,917
2912,902
2352,895
2842,890
100,887
637,887
535,890
2160,875
1857,865
1730,845
427,845
210,845
2687,840
2832,840
2620,842
345,842
2315,832
1965,832
2205,825
2547,815
1767,805
2742,800
2115,790
2487,790
2260,780
542,772
2442,757
2367,752
2632,727
1875,722
2687,717
2580,715
1987,700
2177,700
2355,675
2120,635
2242,622
