x,y
2910,2842
4677,2540
4396,2540
4495,2518
4716,2497
4549,2490
4431,2447
4741,2447
4246,2443
4609,2429
4168,2408
3309,2408
2479,2397
4296,2397
4381,2386
2280,2383
2183,2372
1410,2372
5065,2361
2515,2365
1834,2369
2390,2361
1745,2358
2632,2354
2027,2347
1524,2351
1343,2351
4542,2333
1286,2337
1211,2340
1653,2333
2112,2333
1934,2329
2721,2322
2244,2315
2589,2312
1467,2315
1136,2312
1585,2312
3056,2304
2821,2297
2550,2287
4659,2276
2337,2276
1774,2276
1991,2265
1425,2258
979,2247
2059,2233
4488,2226
1838,2226
3288,2219
2703,2215
1197,2223
5001,2212
1681,2205
790,2205
1620,2194
2768,2176
2500,2169
1332,2169
1905,2166
2237,2151
2572,2141
1606,2144
1243,2148
2942,2141
5140,2137
2148,2137
1781,2130
4969,2123
5308,2116
1955,2123
2066,2116
4510,2101
3256,2094
958,2098
1998,2094
1140,2094
1375,2091
2593,2080
2689,2076
1467,2069
2372,2066
4855,2062
4780,2059
1713,2055
3021,2048
1578,2048
2803,2044
5087,2030
2247,2009
4638,2005
2205,1998
2151,2005
2458,2002
2536,1998
1221,1987
1806,1984
4738,1980
3135,1980
2312,1977
5140,1966
2928,1973
2037,1970
1375,1966
3024,1952
5019,1945
2800,1941
2386,1938
3192,1934
1542,1930
3309,1920
1920,1916
1631,1916
2718,1913
1984,1902
2661,1905
1075,1902
3060,1877
2144,1881
1720,1884
1164,1881
1449,1877
4488,1866
4859,1863
2076,1852
2817,1848
1318,1848
3209,1848
2643,1845
4755,1841
1079,1838
954,1834
1806,1834
2461,1827
2297,1827
4588,1824
2878,1824
2664,1820
2550,1827
1984,1820
1229,1816
4973,1806
3117,1806
2942,1813
1574,1806
1649,1791
1097,1788
2158,1784
1938,1781
2796,1781
944,1774
3266,1774
2244,1774
1866,1774
2376,1777
2646,1763
2076,1763
1710,1759
3013,1752
1136,1745
2009,1738
1400,1742
3074,1734
2771,1731
1795,1734
1521,1731
2475,1720
2212,1724
1303,1713
2304,1713
1649,1695
1100,1692
3181,1677
2732,1670
2974,1660
2639,1660
2148,1656
1905,1645
2023,1638
2832,1635
2518,1620
1371,1620
1603,1617
2418,1606
2247,1585
2354,1442
1571,1428
2550,1414
1799,1414
1464,1410
2753,1407
2668,1407
1902,1400
2404,1392
1403,1392
2614,1385
2493,1389
2173,1382
1225,1378
1995,1371
1307,1360
1784,1346
2069,1339
1528,1204
