x,y
911,846
940,792
977,782
915,782
1003,781
883,781
863,776
600,776
567,772
677,768
537,771
836,763
651,758
813,760
742,755
627,753
1065,752
901,746
1038,738
715,746
601,742
1278,737
865,738
787,737
957,737
1081,733
927,733
492,733
517,731
765,728
1296,725
987,726
881,723
673,728
815,722
1191,722
462,721
1096,717
1236,717
1161,718
701,717
436,717
540,715
417,716
1266,711
1142,712
630,712
1206,705
732,706
656,705
1031,702
790,698
1065,695
841,696
868,696
1007,692
507,687
752,680
817,673
453,672
428,657
561,651
777,645
806,640
1013,635
577,627
511,617
690,613
1178,560
1305,555
1382,550
1245,547
1217,547
1487,546
1077,543
1272,540
632,540
1405,545
1426,535
1181,533
1038,530
322,528
610,523
1452,523
366,521
447,516
643,515
1190,511
873,507
665,508
588,510
563,505
721,505
392,505
501,500
685,500
191,502
741,498
346,497
296,495
321,491
945,490
237,493
762,488
703,487
786,485
260,486
278,482
453,481
206,480
112,465
85,467
221,457
70,446
313,443
48,443
1250,412
1508,408
1391,408
1101,408
1457,403
1211,405
1415,402
1157,400
1481,400
1187,396
1233,390
1332,388
1307,385
1171,383
962,383
1431,382
1547,382
1523,383
1287,380
996,378
408,377
808,376
1571,376
932,370
847,368
1017,372
767,365
1267,361
743,361
1032,360
878,355
470,355
826,355
1221,355
1050,355
1201,351
1132,348
790,350
1245,348
973,348
585,346
1156,342
1070,342
652,341
1182,341
621,340
997,337
410,336
517,336
920,333
676,333
1300,326
937,326
886,326
693,325
497,317
856,312
330,313
1217,310
787,310
830,308
545,311
761,305
595,306
355,306
571,303
256,305
948,297
893,297
426,300
1378,295
136,293
637,292
303,293
468,292
446,291
382,293
407,288
965,283
83,283
110,281
47,281
983,275
67,275
248,268
196,268
11,265
77,258
1150,157
385,75
